ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007409	axonogenesis	189/4942	482/18866	1.757631111856126e-10	1.1363085138149853e-6	9.145232195689294e-7	57688/57643/10507/8609/84189/1969/9839/494470/9175/1605/9334/80031/6498/9798/57698/4131/10505/7204/2043/5879/5818/6092/2044/54910/4884/4038/107/4915/27020/2263/55715/1946/4781/5048/7345/80128/387/57453/1808/55079/8633/57556/7143/4168/284656/65249/4628/1954/659/65078/140578/2534/8239/2887/8831/26037/3798/682/4089/9378/9355/4135/2674/1630/10509/22902/9846/5306/6387/5458/6608/2045/4692/658/5362/2011/137970/6585/10752/7101/8482/4897/60/323/1796/391/64855/9253/4133/22906/23077/5532/9344/91584/1826/5663/1400/7852/2115/2803/1436/3800/79600/2064/5454/2668/64919/7436/8301/7155/3918/2549/575/5598/54538/4684/2297/2932/91624/55816/27185/5062/8153/729920/57679/9638/5058/5781/10494/23394/5864/7474/8929/1942/5080/1123/7074/6709/3925/8013/5578/2625/2042/5594/2046/84665/8660/8650/2902/5727/91653/200933/7504/11127/30011/3799/10154/57463/6711/51466/23114/322/4853/9723/4147/10890/220164/54915/3199/7224/134430/3730/1385/6049/81565/8766/54437/9890/9037/1949/9637/5063/23129/6586/2017/84570/4009/63923/59352	189
BP	GO:0072001	renal system development	123/4942	292/18866	1.9647226178617947e-9	6.350965862238252e-6	5.111381000047816e-6	56998/6772/2650/7481/5087/79727/79191/4208/8879/2246/2043/947/5471/359/7369/6092/23322/4038/2263/5629/3976/8854/9231/4087/7161/282679/2018/3570/25976/6664/4774/25836/4763/4089/1958/8710/7046/842/6492/6608/2045/847/168002/10409/25937/4311/157506/6659/8516/79633/139285/2668/30812/10018/9500/9370/80184/2297/64220/255743/5613/6943/3399/5125/284/168667/3248/6422/6662/652/6299/342184/285/10269/55959/7474/2200/2296/1063/8100/10736/2625/7010/116039/27031/9350/80000/384/4358/9788/6385/54361/5017/8837/7490/1739/5727/26249/10220/4088/84159/3280/9510/4853/186/64321/25959/1592/5314/80310/10972/185/50484/80144/3237/56913/2247/23210/79810/4092/93649/54475/51804	123
BP	GO:0001822	kidney development	119/4942	283/18866	4.049871824484133e-9	8.727473781763306e-6	7.024040852078973e-6	56998/6772/2650/7481/5087/79727/79191/4208/8879/2246/2043/947/5471/359/7369/6092/23322/4038/2263/5629/3976/8854/9231/4087/7161/282679/3570/25976/6664/25836/4763/4089/1958/8710/7046/842/6492/6608/2045/847/168002/10409/25937/4311/157506/6659/8516/79633/139285/2668/30812/10018/9500/9370/80184/2297/64220/255743/5613/6943/3399/5125/284/168667/3248/6422/6662/652/6299/342184/285/10269/55959/2200/2296/1063/8100/10736/2625/7010/116039/27031/9350/80000/384/4358/9788/6385/54361/5017/8837/7490/1739/5727/26249/10220/4088/84159/3280/9510/4853/186/64321/25959/1592/5314/80310/10972/185/50484/80144/3237/56913/2247/23210/79810/4092/54475/51804	119
BP	GO:0001655	urogenital system development	134/4942	330/18866	6.348830791469479e-9	1.0261297766712546e-5	8.258492263745694e-6	56998/6772/2650/7481/5087/79727/79191/4208/8879/2246/2043/947/5471/359/7369/6092/23322/4038/5324/2263/5629/5618/3976/8854/9231/4087/7161/282679/2018/3570/25976/6664/4774/25836/9420/4763/4089/5660/1958/8710/7046/842/6492/6608/2045/847/168002/10409/25937/367/10116/4311/157506/6659/8516/79633/139285/2668/30812/10018/9500/9370/80184/2297/64220/255743/5613/6943/3399/5125/284/168667/3248/6422/6662/652/6299/342184/285/3239/10269/55959/7474/2200/2296/6599/1063/8100/10736/2625/7010/116039/27031/9350/80000/384/4358/9788/6385/54361/5017/8837/7490/1739/5727/26249/10220/4088/2099/84159/3280/5268/2288/9510/4853/186/64321/25959/1592/5314/80310/10972/185/50484/80144/3237/56913/2247/23210/79810/4092/93649/54475/51804	134
BP	GO:0030099	myeloid cell differentiation	166/4942	431/18866	1.0108532615996859e-8	1.3070332672483938e-5	1.0519258257025783e-5	56998/23112/6772/9644/3662/51621/27327/58508/2101/28996/9991/9258/1021/1969/10019/4208/54623/92/28962/2113/2056/23543/10163/84293/3123/80762/5048/25946/3020/4297/10766/3976/84529/1030/5771/9948/9770/8563/51341/84522/5579/27086/3567/8085/23218/3218/11143/3658/54790/6774/3021/4015/55904/4763/6729/80739/3149/25979/2038/842/9846/920/2551/5458/4779/3458/1432/7037/604/9739/7049/133522/1236/4151/8792/126014/2313/4212/10365/5663/9646/55294/222166/7124/26013/6988/22985/975/1436/159296/4891/169200/85477/1387/1435/5925/865/3707/130733/9370/714/2207/836/23411/5613/10320/4850/192669/10234/6422/652/405/10193/5781/3516/3059/114609/6670/51176/5926/2200/11091/5814/9398/4778/863/192670/4286/634/8013/5578/2625/3930/116071/55170/4830/51266/79577/29843/10456/10398/2185/2353/7071/56834/135228/2739/4792/2242/84959/5316/23054/10826/27102/10006/10100/221395/4853/3725/1385/3600/5591/5371/23210/51208/10221	166
BP	GO:0097485	neuron projection guidance	118/4942	285/18866	1.3661880264092948e-8	1.4720675984560152e-5	1.1847486692177447e-5	57688/57643/10507/8609/1969/494470/1605/80031/10505/7204/2043/5879/5818/6092/2044/54910/27020/55715/1946/4781/57453/1808/55079/8633/57556/7143/284656/65249/4628/1954/659/2534/2887/3798/682/4089/9378/9355/2674/1630/10509/9846/6387/5458/6608/2045/658/5362/137970/6585/10752/8482/4897/323/1796/391/64855/23077/10570/91584/1826/1400/7852/2115/1436/3800/2064/2668/64919/7436/3918/2549/5598/54538/4684/2297/91624/55816/729920/9638/5781/7474/1942/5080/1123/6709/8013/5578/2625/2042/5594/2046/84665/8660/5727/91653/11127/30011/3799/10154/6711/51466/23114/4853/9723/4147/220164/54915/3199/3730/54437/9037/1949/9637/23129/6586/4009/59352	118
BP	GO:0007411	axon guidance	117/4942	284/18866	2.195855190360482e-8	2.0280291150972166e-5	1.6321973242032875e-5	57688/57643/10507/8609/1969/494470/1605/80031/10505/7204/2043/5879/5818/6092/2044/54910/27020/55715/1946/4781/57453/1808/55079/8633/57556/7143/284656/65249/4628/1954/659/2534/2887/3798/682/4089/9378/9355/2674/1630/10509/9846/6387/5458/6608/2045/658/5362/137970/6585/10752/8482/4897/323/1796/391/64855/23077/91584/1826/1400/7852/2115/1436/3800/2064/2668/64919/7436/3918/2549/5598/54538/4684/2297/91624/55816/729920/9638/5781/7474/1942/5080/1123/6709/8013/5578/2625/2042/5594/2046/84665/8660/5727/91653/11127/30011/3799/10154/6711/51466/23114/4853/9723/4147/220164/54915/3199/3730/54437/9037/1949/9637/23129/6586/4009/59352	117
BP	GO:0022604	regulation of cell morphogenesis	185/4942	499/18866	4.1068839560580434e-8	2.9301531841339146e-5	2.3582443422760514e-5	57688/57643/10507/22871/9839/9175/1605/80031/989/6498/9798/57698/4131/10505/2043/5879/6092/55604/23316/390/54910/4038/4915/6383/1946/5048/56882/80128/57154/387/91663/55785/1808/55079/57556/7143/811/4168/1742/65249/4628/9948/1954/113251/26052/659/54014/65078/140578/157922/6239/2534/114793/8831/26037/27289/2316/3706/4135/5034/1630/10509/22902/2038/57194/1857/6387/5458/375611/2045/5362/2011/7101/8482/4897/391/4133/91010/22906/1398/23077/64689/6678/9344/91584/22836/1826/960/5663/7852/11078/84079/2803/1436/10810/254065/5454/3055/4739/3679/65981/2932/7168/57471/54764/5071/4478/27185/5062/8153/121512/23363/5058/10494/55607/23394/10269/6845/7940/2243/7474/221472/10602/1942/9693/1123/7074/8499/23327/643338/6857/2620/192670/5530/8322/23426/55660/10395/9203/56990/2902/2185/9912/1739/11149/158866/9886/57619/4289/2242/7504/30011/4649/226/10154/57463/3397/9723/23221/23237/54915/29904/7224/134430/445815/6049/9368/81565/8766/54437/6356/10630/9037/5591/1949/5063/23129/10117/152503/7694/2017/127833/26259/2768/9373	185
BP	GO:0016570	histone modification	175/4942	468/18866	4.7900976342907126e-8	2.9301531841339146e-5	2.3582443422760514e-5	3662/4204/58508/6839/221037/6883/84787/1643/9320/55209/54623/56970/11107/5927/8314/23338/9767/55870/7874/25855/7786/9971/4297/9913/55079/26036/2070/3976/7862/64769/80853/9958/5579/11176/8085/11143/51105/54790/8648/221656/80218/6314/84108/55758/91748/25836/817/55904/4089/10933/23476/84193/79918/51547/84333/165918/9734/151636/51742/51230/604/56916/5977/9739/5599/2122/5978/9555/9646/27154/890/80854/23512/7324/6045/7443/27097/1387/151050/4287/54556/9085/57343/140690/672/2005/84656/79858/4524/6418/1789/5245/64426/23411/9682/6304/50943/5081/8202/10782/2672/10891/56254/2140/84444/200424/9025/63976/51176/8091/5926/10269/2332/79723/11091/22992/3141/5563/9031/23135/7468/10765/5578/2625/2091/55167/3275/22933/55170/55693/57708/23741/5587/23522/79577/546/11240/5253/29104/51147/79960/8450/3619/408/6419/55818/79184/78990/648/10014/23030/1111/7320/322/7291/84864/80314/11137/9647/23170/6622/80312/284058/23304/22823/79829/10943/4602/9678/5252/23210/3481/93624/93649/221477	175
BP	GO:0016569	covalent chromatin modification	179/4942	481/18866	5.0008404682887217e-8	2.9301531841339146e-5	2.3582443422760514e-5	3662/4204/58508/6839/221037/6883/84787/1643/9320/55209/54623/56970/11107/5927/8314/23338/9767/55870/7874/25855/7786/9971/4297/9913/55079/26036/2070/3976/7862/64769/80853/8932/9958/5579/11176/8085/11143/51105/54790/8648/221656/80218/6314/84108/55758/91748/25836/817/55904/4089/10933/23476/84193/79918/51547/84333/165918/9734/151636/51742/51230/604/56916/5977/9739/5599/2122/5978/9555/9646/27154/890/80854/23512/7324/6045/7443/27097/1387/151050/4287/54556/9085/57343/140690/672/2005/84656/79858/4524/6418/1789/5245/64426/23411/9682/6304/50943/5081/8202/10782/2672/10891/23272/56254/2140/84444/55196/200424/9025/63976/51176/8091/5926/10269/2332/79723/11091/22992/3141/5563/9031/23135/7468/10765/5578/2625/2091/55167/3275/22933/55170/55693/57708/23741/5587/23522/79577/546/11240/5253/29104/51147/79960/8450/3619/408/6419/55818/79184/78990/648/10014/23030/1111/7320/322/7291/84864/80314/11137/9647/23170/6622/80312/284058/23304/22823/79829/10943/4602/9678/5252/23210/3481/93624/57379/93649/221477	179
BP	GO:0045666	positive regulation of neuron differentiation	147/4942	380/18866	5.0542197945243066e-8	2.9301531841339146e-5	2.3582443422760514e-5	10507/22849/22871/1272/9839/9175/79727/79191/6498/4208/9798/57698/4131/22941/2043/6092/23316/4915/2056/27020/1946/5629/1268/5048/57154/387/55079/9231/1742/1954/57554/950/659/54700/6664/140578/8648/2534/8536/2281/8724/9043/57118/3706/4135/22902/1857/6387/55906/5458/4681/5362/2011/604/5584/8482/221336/4897/27/6935/22906/5754/6993/2119/4058/91584/1826/5978/5663/7852/84079/2803/1894/162427/5906/7436/27339/1789/429/1453/29993/65981/1745/54149/5071/27185/9760/8153/23363/9638/652/5058/10494/5121/55607/23394/9181/6845/2332/7474/8929/163404/9693/7074/23327/6857/6938/116/90527/8322/23426/2042/64764/3655/4830/5587/1482/11075/8837/2185/3232/402117/158866/2242/10154/81544/57463/322/29904/7224/81565/8766/57498/55754/9037/10690/2889/5063/482/23129/55714/60436/127833/26259/4760/5756/9373	147
BP	GO:0016050	vesicle organization	134/4942	340/18866	5.438799413705642e-8	2.9301531841339146e-5	2.3582443422760514e-5	9882/203062/9525/84313/23325/9839/9798/9765/947/10959/8675/9392/55048/51762/57030/23208/5048/7039/23243/6272/25946/857/5819/811/1742/5861/5270/26052/950/282679/8976/434/10483/112755/122553/8724/55204/3998/56681/29916/10802/112476/8867/5584/5869/7251/79720/64689/255220/9218/9146/9892/90411/1294/8674/55300/23176/84079/388552/1759/10282/83871/5872/9519/858/7879/1201/3267/8301/54732/6811/1453/6844/8615/2060/6691/84062/356/5071/22937/57679/6386/6843/9217/8452/8546/55004/5864/80183/6845/6891/26276/2901/81833/6857/55291/10484/10228/5873/89866/128866/51128/164/54734/6385/84376/26286/149371/158866/57403/55330/19/3799/8938/357/375056/25956/10981/7110/9527/26258/6622/55361/1385/10427/8766/10972/55353/51534/91782/8934/51652/6890/1075	134
BP	GO:0030522	intracellular receptor signaling pathway	109/4942	265/18866	7.242424060229561e-8	3.6017131961064706e-5	2.8987289173858072e-5	81606/83737/7128/1591/8856/23543/6095/144811/1667/387/23369/9971/8854/2692/811/4250/51341/9958/79039/5465/27086/8289/26065/8085/55666/8648/6774/9698/9420/2649/10454/6397/2104/246/5458/23586/367/133522/409/23019/7421/10365/1390/7068/5547/1407/5740/55885/9970/672/865/5245/7026/1408/3952/5970/5292/329/23411/6943/9612/2908/6422/55914/405/5058/57178/9745/4848/8928/26057/8013/90268/7353/6096/3275/55765/11240/7105/55818/2099/4792/59344/3654/131566/9604/57491/2288/7291/4306/7110/81570/55252/25959/1592/5241/26191/6049/23118/8611/9611/54941/5371/10370/2494/57658/8780/26007/64127	109
BP	GO:0050769	positive regulation of neurogenesis	179/4942	485/18866	9.757466505572778e-8	4.505858639894858e-5	3.626402777221522e-5	10507/22849/22871/1272/9839/9175/1605/79727/79191/6498/4208/9798/57698/4131/22941/2043/6092/23316/4915/2056/5324/27020/1946/5629/1268/5048/57154/387/23013/55079/3976/57556/9231/1742/5270/7161/1954/57554/950/659/54700/23060/6664/140578/8648/2534/25836/8536/2281/8724/2316/5501/9043/57118/3706/4135/22902/1857/6387/55906/5458/23405/6608/4681/3458/5362/2011/604/5584/8482/221336/4897/3572/27/9253/6935/22906/5754/6993/2119/4058/91584/1826/5978/4311/5663/7124/6692/7852/84079/2803/1894/162427/30812/1435/5906/4988/7436/1869/27339/1789/429/1453/5970/29993/65981/1745/54149/5071/27185/9760/8153/23363/9638/652/5058/10494/5121/55607/23394/9181/6845/2332/7474/8929/163404/9693/5080/7074/23327/6857/6938/5025/116/90527/8322/23426/7133/2042/64764/3655/4830/5587/1482/11075/8650/8837/26011/2185/3232/402117/158866/2242/3280/9001/10154/81544/57463/322/29904/7224/81565/8766/57498/55754/9037/10690/2889/5063/482/23129/55714/4602/60436/127833/26259/4760/5756/9373	179
BP	GO:0034765	regulation of ion transmembrane transport	179/4942	489/18866	1.8675951708364417e-7	8.049335186305064e-5	6.478261704873355e-5	4878/56479/22871/30818/2903/126755/3790/2892/9446/54207/5999/6323/51204/5350/4208/2946/22941/3756/775/10021/10971/3736/83795/3359/2056/117532/6327/387129/3746/6326/857/2745/3752/1742/5724/6334/9948/57554/3064/3768/57120/774/2534/10368/388336/817/6330/6536/2281/6332/2280/2316/25932/146395/57657/1815/84766/785/375611/930/3458/51719/3747/90134/54102/5621/57620/799/81831/89822/7531/2257/5663/3743/6786/1740/3750/782/3208/967/1131/287/3766/23704/91404/84502/23415/4988/3753/3778/54106/6844/196527/140738/3749/486/784/55636/81033/729956/1804/10891/1756/777/3596/53826/30819/5142/1318/9132/10269/2332/1181/23171/10768/808/23327/3738/7402/29979/11261/6331/6329/779/3769/88/3739/57214/8398/57190/57628/56704/55800/8660/4283/3767/8913/2902/825/2185/79073/148811/348980/1739/483/57555/2893/4544/84959/493/59283/3799/5923/9001/3760/5243/57463/2631/7291/23237/4644/56659/6622/6769/9368/2669/65267/783/10105/482/10681/23630/776/6588/53827/653519/3764/1612/729993	179
BP	GO:0022898	regulation of transmembrane transporter activity	111/4942	276/18866	2.2099817715661188e-7	8.929707595734349e-5	7.186802563717977e-5	4878/22871/2903/126755/2892/9446/51204/5350/4208/2946/22941/3736/3359/2056/6327/3746/857/2745/1742/5724/57554/3064/57120/10368/388336/817/6330/6536/2281/2280/146395/1815/84766/785/3458/51719/3747/60/5621/57620/81831/7531/2257/6786/1740/782/3208/1131/287/23704/84502/4988/3753/54106/6844/5292/486/784/729956/10891/1756/53826/30819/5142/2332/23171/10768/808/23327/7402/29979/11261/88/8398/57190/56704/55800/3767/2902/2185/148811/1739/483/57555/2893/4544/59283/3799/5923/9001/5243/57463/2631/7291/23237/4644/6622/6769/9368/2669/65267/783/10105/482/10681/23630/776/6588/53827/1612/729993	111
BP	GO:0048732	gland development	164/4942	443/18866	2.653010481646934e-7	1.0089242802263194e-4	8.120019077882845e-5	81606/7481/6156/1969/5087/11231/7128/1605/3643/2246/5471/2113/23322/5324/55870/2263/5629/2001/4781/2066/9480/5111/5618/857/8854/2692/3084/2252/4087/3488/5270/128239/9247/394/3162/8648/6239/6195/2267/9420/4763/4089/7038/6729/205/5315/5660/7046/3175/6608/8862/139596/367/7049/2119/4939/7547/8792/10116/7421/5663/55294/7124/8456/3845/1436/159296/144455/382/340481/55727/5454/10718/10018/1435/5906/64919/3642/429/26019/5970/4488/3219/6496/64220/6943/9612/4478/80139/3586/3142/6422/6662/652/6299/3239/3516/3235/8452/6926/6670/51176/10269/55959/7474/1181/4233/5080/2296/6599/634/116/10765/29842/2625/25807/27031/1543/5594/4830/1956/3321/2487/5253/8660/54361/1482/8837/7490/3232/100/5727/8379/4088/2099/5894/3099/84159/3280/5268/79971/2288/4853/87178/3664/5241/3725/1385/9368/6356/5591/23129/1950/5371/10370/5075/3651/1373/79810/3481/27122/9464/57539/51804	164
BP	GO:0001505	regulation of neurotransmitter levels	97/4942	235/18866	3.050897107545012e-7	1.0957805444599169e-4	8.819055206195902e-5	6511/22871/4208/1312/3176/28964/107/57030/23208/1268/55327/43/41/2824/6572/5579/9515/148/112755/6529/774/5538/5908/6536/60482/4763/9378/1815/55784/6506/112476/747/8867/5865/116443/135/5030/5663/9900/220074/5217/339302/27445/3766/2572/2668/1201/5906/8500/6844/18/2932/7915/84062/3749/5071/8448/9783/6570/6571/6843/55607/5864/2332/9162/6581/8499/808/2901/55288/6857/26002/3177/6507/93664/488/26059/9381/8573/1137/1138/22895/2555/8938/8618/6853/10003/6532/26258/6622/9751/23413/6512/783/25953/776/127833	97
BP	GO:0072659	protein localization to plasma membrane	112/4942	281/18866	3.3574418526305657e-7	1.1424137672240318e-4	9.194368464018219e-5	10077/57217/30818/56246/8548/9545/1969/23062/79849/23241/10959/30846/51762/57154/91663/286/81619/57120/682/2316/55204/80262/285172/55625/55690/11079/23167/2013/3458/10267/5584/367/60/5621/391/5865/3728/2319/9530/64689/9053/283576/64114/57512/7124/26060/2803/975/10266/83871/382/5872/1213/287/1201/5906/115827/8301/8500/9370/51304/11031/6844/2207/51735/29993/9495/784/51763/1804/55704/22841/5864/5525/6845/10938/9693/23426/10484/88/81693/2042/1956/8631/57628/55800/8650/3767/25945/9912/27065/1739/483/5727/2580/493/3799/25999/5357/6711/26154/6093/23114/4644/10890/6769/9368/8766/5593/65267/783/10098	112
BP	GO:0032409	regulation of transporter activity	115/4942	291/18866	3.949516660164241e-7	1.276681260398091e-4	1.0274979395364128e-4	4878/22871/2903/126755/2892/9446/51204/5350/4208/2946/22941/3736/3359/2056/6327/3746/80762/857/2745/4297/1742/5724/57554/3064/57120/10368/388336/817/6330/6536/2281/2280/146395/1815/84766/785/3458/51719/3747/60/5621/57620/81831/7531/2257/6786/1740/782/3208/1131/287/23704/84502/4988/3753/54106/6844/5292/486/784/729956/10891/1756/53826/30819/5142/2332/23171/10768/808/23327/7402/29979/11261/88/8398/57190/56704/55800/3767/2902/2185/148811/1739/483/57555/2893/4544/59283/3799/5923/9001/5243/57463/2631/7291/23237/4644/6446/54602/6622/6769/9368/2669/65267/783/10105/482/10681/23630/776/6588/53827/1612/729993	115
BP	GO:1902903	regulation of supramolecular fiber organization	141/4942	373/18866	4.58204470609332e-7	1.3540572501699255e-4	1.0897716428688796e-4	7481/4204/22919/57551/51571/5999/1639/85464/4208/4131/5879/55604/10391/10163/5629/387/81553/91663/56907/9948/50507/8976/2764/157922/829/6314/89848/286527/324/4089/2316/57662/23647/1003/1859/253260/7046/1073/6387/246/5829/10174/343578/4133/57704/9530/4281/1236/6840/1490/5663/1906/119/11078/10810/382/25876/5217/85477/5987/79933/27236/5734/5925/3055/8500/54942/5345/22843/2314/7168/5071/51763/5062/22924/10411/6422/55704/342184/5058/3059/55607/4733/9181/58497/10602/4233/6709/643338/25802/27124/3925/11214/10096/10094/88/133746/54961/10395/6385/54361/10456/11075/2185/1739/7016/4088/57026/5341/9026/2242/9639/25999/11034/120/6711/961/3397/6093/51466/2288/79929/163782/9793/9647/10788/6622/2241/6356/4771/51474/285590/9037/8477/5063/23116/2017/23075/6249/5756/10382	141
BP	GO:0071559	response to transforming growth factor beta	104/4942	258/18866	4.6077740918388805e-7	1.3540572501699255e-4	1.0897716428688796e-4	28996/57530/6498/4208/51592/9392/64838/2201/10637/2263/51701/57154/387/9480/857/200734/26036/1030/4087/51341/9958/50507/1284/50515/6664/2534/8239/4015/4089/1003/10454/7046/3175/5045/5829/5796/4054/6935/1398/7049/2530/5139/409/6660/1906/26060/8516/1387/1278/858/678/7525/5598/1745/3693/255743/23411/9404/2651/2908/80139/10891/23625/867/3248/6422/6662/6386/57669/8754/5494/57178/63976/7474/7041/2200/94031/58533/8928/9719/864/54361/8837/64081/2615/4088/2353/54778/135228/2660/3397/6093/3725/1385/80310/463/83891/2331/5371/10370/23089/27122/4092/93649	104
BP	GO:0032412	regulation of ion transmembrane transporter activity	106/4942	265/18866	5.593432860246151e-7	1.5722410191952767e-4	1.2653701889334885e-4	4878/22871/2903/126755/2892/9446/51204/5350/4208/2946/22941/3736/3359/2056/6327/3746/857/2745/1742/5724/57554/3064/57120/10368/388336/817/6330/6536/2281/2280/146395/1815/84766/785/3458/51719/3747/5621/57620/81831/7531/2257/6786/1740/782/3208/1131/287/23704/84502/4988/3753/54106/6844/486/784/729956/10891/1756/53826/30819/5142/2332/23171/10768/808/23327/7402/29979/11261/88/8398/57190/56704/55800/3767/2902/2185/1739/483/57555/2893/4544/59283/3799/5923/9001/5243/57463/2631/23237/4644/6769/9368/2669/65267/783/10105/482/10681/23630/776/6588/53827/1612/729993	106
