ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04218	Cellular senescence	21/350	156/8112	3.0934191050200146e-6	9.342125697160444e-4	8.140576592157934e-4	28996/3845/5290/677/5293/678/4772/5054/5534/983/11200/3486/204851/801/4605/22808/4773/5933/5925/1017/4893	21
hsa03015	mRNA surveillance pathway	14/350	97/8112	6.427626868053518e-5	0.009705716570760813	0.00845740377375463	124540/10482/10767/80335/5516/26019/645974/5520/340529/8731/5523/56903/11052/4686	14
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	13/350	89/8112	1.0324033883386874e-4	0.010392860775942788	0.00905617007314638	3091/3845/5290/5293/4772/5534/116071/4792/915/6772/4773/5781/4893	13
hsa04625	C-type lectin receptor signaling pathway	13/350	104/8112	5.009877332210559e-4	0.037824573858189714	0.03295971929085894	3845/5290/5293/4772/5534/801/4792/841/22808/6772/4773/5781/4893	13
hsa04137	Mitophagy - animal	10/350	72/8112	9.682611409299703e-4	0.05068686718670469	0.04416771278032824	3091/3845/10370/9451/23710/8887/7879/665/22808/4893	10
hsa04140	Autophagy - animal	15/350	141/8112	0.0010728014653819033	0.05068686718670469	0.04416771278032824	3091/3845/5290/5293/9451/23710/55102/6885/5516/3667/440275/7879/22808/55255/4893	15
hsa05160	Hepatitis C	16/350	157/8112	0.0011748611599567312	0.05068686718670469	0.04416771278032824	3444/3845/5290/3449/5293/9451/5516/440275/4792/841/5520/53842/6772/5925/1017/4893	16
hsa05161	Hepatitis B	16/350	162/8112	0.0016362593093902516	0.061768788929481996	0.05382431938783722	3444/1654/3845/5290/3449/5293/6885/4772/9586/4792/841/6772/4773/5925/1017/4893	16
hsa05170	Human immunodeficiency virus 1 infection	19/350	212/8112	0.0019735413616879726	0.06622327680330753	0.05770588776865418	3444/3845/5290/3449/5293/6885/4772/200315/5534/10681/983/3984/801/4792/841/915/4773/6892/4893	19
hsa05162	Measles	14/350	139/8112	0.0026187988805028866	0.07908772619118717	0.06891576001323386	3444/5290/3449/5293/9451/6885/440275/3559/27113/4792/841/915/6772/1017	14
hsa04930	Type II diabetes mellitus	7/350	46/8112	0.0032798386039712287	0.07963367124246444	0.06939148766335347	5290/5293/773/5581/3667/777/3651	7
hsa05218	Melanoma	9/350	72/8112	0.0036008135030398576	0.07963367124246444	0.06939148766335347	2254/3845/5290/5293/2246/5156/5925/4893/2250	9
hsa04933	AGE-RAGE signaling pathway in diabetic complications	11/350	100/8112	0.003736904919974186	0.07963367124246444	0.06939148766335347	3845/5290/5293/4772/5581/5054/1277/6772/1729/1282/4893	11
hsa04726	Serotonergic synapse	12/350	115/8112	0.003881966976383203	0.07963367124246444	0.06939148766335347	3845/2560/773/1558/3358/10681/1559/3359/3357/1557/3781/4893	12
hsa04115	p53 signaling pathway	9/350	73/8112	0.003955314796811148	0.07963367124246444	0.06939148766335347	5054/983/11200/3486/27113/841/55367/50484/1017	9
hsa05165	Human papillomavirus infection	25/350	331/8112	0.0044317805547470996	0.0836498579708515	0.07289112754518257	3444/523/3845/5290/3449/5293/3655/1740/1741/5516/3696/9586/10207/1277/54626/841/5520/5523/6772/1282/5663/5933/5925/1017/4893	25
hsa04660	T cell receptor signaling pathway	11/350	104/8112	0.005051144386684676	0.08594726687685464	0.07489305234999534	3845/5290/5293/6885/4772/5534/4792/915/4773/1493/4893	11
hsa04722	Neurotrophin signaling pathway	12/350	119/8112	0.00512268478073968	0.08594726687685464	0.07489305234999534	3845/5290/5293/5598/3667/10818/4915/801/4792/5663/5781/4893	12
hsa04658	Th1 and Th2 cell differentiation	10/350	92/8112	0.006084251371719731	0.0967075744347031	0.0842694095806057	4094/4772/5534/3559/3111/4792/3123/915/6772/4773	10
hsa04659	Th17 cell differentiation	11/350	108/8112	0.006707185042464568	0.10127849414121498	0.08825243476927065	6095/3091/4772/5534/3559/3111/4792/3123/915/6772/4773	11
hsa00591	Linoleic acid metabolism	5/350	29/8112	0.00733698488673987	0.10551283027597337	0.09194216650049965	5319/1558/1559/1557/1544	5
hsa05168	Herpes simplex virus 1 infection	33/350	495/8112	0.008005161663640585	0.10988903738270257	0.0957555222923515	3444/5290/3449/114026/10482/5293/9451/148268/400720/7639/79088/6885/7569/84874/440275/10838/3111/6427/10794/4792/7625/91975/3123/841/163131/6772/7752/6892/147949/7553/330/5781/57786	33
hsa05163	Human cytomegalovirus infection	18/350	225/8112	0.00841113549438003	0.11044186605664214	0.09623724821945115	3444/3845/5290/3449/5293/11214/4772/5534/10681/9586/801/4792/841/5156/4773/5925/6892/4893	18
hsa05167	Kaposi sarcoma-associated herpesvirus infection	16/350	194/8112	0.00957397617903368	0.12047253358617381	0.10497780898063247	3444/3091/3845/5290/3449/5293/4772/5534/10681/801/4792/841/6772/4773/5925/4893	16
hsa05417	Lipid and atherosclerosis	17/350	215/8112	0.01147717458501637	0.13864426898699775	0.1208123640528039	3444/3845/5290/3449/5293/9451/6885/4772/1558/5534/1559/3606/801/4792/841/4773/4893	17
hsa04540	Gap junction	9/350	88/8112	0.013259948088589244	0.15401939702899814	0.13421000089665228	10746/3845/5598/3358/3357/983/5156/153/4893	9
hsa05214	Glioma	8/350	75/8112	0.01505662164318323	0.16334323832439146	0.1423346447580964	3845/5290/57118/5293/801/5156/5925/4893	8
hsa04919	Thyroid hormone signaling pathway	11/350	121/8112	0.015144406202261458	0.16334323832439146	0.1423346447580964	3091/3845/5290/7068/5293/6567/8202/486/6772/8648/4893	11
hsa05222	Small cell lung cancer	9/350	92/8112	0.017366313265565026	0.18084919331726337	0.15758904959677883	5290/5293/2272/3655/4792/1282/5925/1017/330	9
hsa04151	PI3K-Akt signaling pathway	24/350	354/8112	0.018464646393614323	0.18587744036238418	0.16197058240012568	3444/2254/3845/5290/3449/5293/2246/3655/9863/5516/10681/3667/3696/3559/9586/1277/4915/5520/5156/5523/1282/1017/4893/2250	24
hsa04960	Aldosterone-regulated sodium reabsorption	5/350	37/8112	0.02034819629794629	0.19823081554773483	0.17273511288579196	3845/5290/5293/486/3667	5
hsa05321	Inflammatory bowel disease	7/350	65/8112	0.021284678963759397	0.2008741577204793	0.1750384783203898	6095/4094/4772/3606/3111/3123/6772	7
hsa04014	Ras signaling pathway	17/350	232/8112	0.02270032993318435	0.20490079355346819	0.17854722338224835	5319/27/2254/3845/5290/5293/2246/10928/51365/10681/4915/801/5156/22808/5781/4893/2250	17
hsa05215	Prostate cancer	9/350	97/8112	0.023717429312823304	0.20490079355346819	0.17854722338224835	3845/5290/5293/9586/4792/5156/5925/1017/4893	9
hsa04662	B cell receptor signaling pathway	8/350	82/8112	0.02457753093288683	0.20490079355346819	0.17854722338224835	3845/5290/5293/4772/5534/4792/4773/4893	8
hsa05231	Choline metabolism in cancer	9/350	98/8112	0.025163419934594356	0.20490079355346819	0.17854722338224835	3091/3845/5290/5293/10810/1119/56261/5156/4893	9
hsa05320	Autoimmune thyroid disease	6/350	53/8112	0.02570703572481121	0.20490079355346819	0.17854722338224835	3444/3449/7253/3111/3123/1493	6
hsa04650	Natural killer cell mediated cytotoxicity	11/350	131/8112	0.025782219056396657	0.20490079355346819	0.17854722338224835	3444/3845/5290/3449/5293/4772/5534/4773/51744/5781/4893	11
hsa05169	Epstein-Barr virus infection	15/350	202/8112	0.02812263388429725	0.21542107008735084	0.1877144214773012	3444/5290/3449/5293/9541/6885/3111/4792/3123/841/915/6772/5925/6892/1017	15
hsa05211	Renal cell carcinoma	7/350	69/8112	0.02853259206454978	0.21542107008735084	0.1877144214773012	3091/3845/5290/5293/54583/5781/4893	7
hsa05166	Human T-cell leukemia virus 1 infection	16/350	222/8112	0.03039412438881903	0.21917891135757908	0.19098894332309088	3845/5290/5293/4772/5534/3559/9586/3111/11200/4792/3123/915/4773/5925/1017/4893	16
hsa04622	RIG-I-like receptor signaling pathway	7/350	70/8112	0.03057655292001117	0.21917891135757908	0.19098894332309088	3444/1654/3449/6885/80143/4792/841	7
hsa04923	Regulation of lipolysis in adipocytes	6/350	56/8112	0.03267969698092439	0.21917891135757908	0.19098894332309088	5290/5293/7253/3667/5346/153	6
hsa04210	Apoptosis	11/350	136/8112	0.03277266916447539	0.21917891135757908	0.19098894332309088	3845/5290/5293/9451/9131/27113/4792/841/55367/330/4893	11
hsa04974	Protein digestion and absorption	9/350	103/8112	0.03333987321741056	0.21917891135757908	0.19098894332309088	255631/1361/54407/486/1277/50509/1290/1282/206358	9
hsa05164	Influenza A	13/350	171/8112	0.033384867292876284	0.21917891135757908	0.19098894332309088	3444/5290/3449/10482/5293/3606/3111/23633/11100/4792/3123/841/6772	13
hsa04371	Apelin signaling pathway	11/350	139/8112	0.03756139708074975	0.24135195571034948	0.2103101740243547	3845/6263/5581/5054/10681/5346/1490/801/22808/4633/4893	11
hsa04370	VEGF signaling pathway	6/350	59/8112	0.040777656333896774	0.25655942110076724	0.2235617123568902	3845/5290/5293/5534/4773/4893	6
hsa04931	Insulin resistance	9/350	108/8112	0.04319336955376848	0.26621219602526697	0.2319729836400026	5290/5293/5581/3667/9586/4792/2673/9945/5781	9
hsa05220	Chronic myeloid leukemia	7/350	76/8112	0.04491316084739889	0.2712754915182893	0.23638505709157312	3845/5290/5293/4792/5925/5781/4893	7
hsa04630	JAK-STAT signaling pathway	12/350	162/8112	0.047202503661934896	0.2795128648216537	0.24356297039182095	3444/5290/3449/5293/3977/3559/1438/3597/5156/6772/5771/5781	12
hsa04810	Regulation of actin cytoskeleton	15/350	218/8112	0.04971136505152793	0.281867659893451	0.24561490056940657	2254/3845/5290/5293/85464/2246/3655/3696/3984/5156/22808/4633/1729/4893/2250	15
hsa00514	Other types of O-glycan biosynthesis	5/350	47/8112	0.05064795417208619	0.281867659893451	0.24561490056940657	283464/51809/56913/64409/285203	5
hsa04010	MAPK signaling pathway	19/350	294/8112	0.050717914343991276	0.281867659893451	0.24561490056940657	2254/3925/10746/3845/5598/4296/2246/6885/773/4772/7786/5534/777/4915/9344/5156/22808/4893/2250	19
hsa05200	Pathways in cancer	31/350	531/8112	0.05133351421900597	0.281867659893451	0.24561490056940657	3444/2254/3091/3845/5290/3449/5293/2737/2246/3655/10928/8202/7170/10681/54583/3559/1438/801/27113/4792/3597/841/5156/6772/1282/8648/5925/1017/330/4893/2250	31
hsa00310	Lysine degradation	6/350	63/8112	0.053395809968621644	0.2832969573456245	0.2468603671537335	7468/54904/85007/56979/55870/8085	6
hsa03018	RNA degradation	7/350	79/8112	0.053469955525498665	0.2832969573456245	0.2468603671537335	255967/9125/387712/4850/645974/340529/9652	7
hsa04514	Cell adhesion molecules	11/350	149/8112	0.05701281133598805	0.29685981074945506	0.2586788173139204	3655/6402/3696/54413/3111/214/3123/53842/4684/1493/201633	11
hsa04530	Tight junction	12/350	169/8112	0.06132451994514756	0.31389839022770444	0.2735259587205512	51735/91862/1740/1741/57826/5581/5516/10207/5520/154810/53842/4633	12
hsa00512	Mucin type O-glycan biosynthesis	4/350	36/8112	0.06782444086062793	0.3413830189984939	0.29747561780977166	51809/56913/64409/2650	4
hsa04015	Rap1 signaling pathway	14/350	210/8112	0.0698483523240653	0.3458065967519299	0.3013302516137416	2254/3845/5290/51735/5293/2246/9863/1500/801/5156/25865/22808/4893/2250	14
hsa04071	Sphingolipid signaling pathway	9/350	119/8112	0.0712899935017171	0.34725125866965423	0.30258910654379073	8560/3845/5290/5293/5581/5516/5520/5523/4893	9
hsa05142	Chagas disease	8/350	102/8112	0.07291998045548466	0.34955292218343437	0.3045947387447146	5290/5293/5516/5054/4792/841/5520/915	8
hsa04152	AMPK signaling pathway	9/350	120/8112	0.07430077971241296	0.35060680426794866	0.3055130744753823	5290/5293/6885/5516/3667/9586/5520/5523/3172	9
hsa04390	Hippo signaling pathway	11/350	157/8112	0.07670090378099549	0.3563641991055483	0.31052997482184413	7003/2246/1740/1741/5516/5054/10207/1490/27113/5520/330	11
hsa04620	Toll-like receptor signaling pathway	8/350	104/8112	0.07967643315644923	0.3633497309298024	0.31661705379034716	3444/5290/3449/5293/6885/4792/841/6772	8
hsa05230	Central carbon metabolism in cancer	6/350	70/8112	0.08061070189502238	0.3633497309298024	0.31661705379034716	3091/3845/5290/5293/5156/4893	6
hsa05223	Non-small cell lung cancer	6/350	72/8112	0.08958411732045812	0.3978588739820346	0.34668776052808875	3845/5290/5293/2272/5925/4893	6
hsa01524	Platinum drug resistance	6/350	73/8112	0.09426697318518185	0.4108670365165837	0.358022862074402	5290/5293/5429/27113/841/330	6
hsa04020	Calcium signaling pathway	15/350	240/8112	0.09523408131179092	0.4108670365165837	0.358022862074402	2254/57118/2246/6263/773/3707/3358/5534/3357/777/4915/801/5156/153/2250	15
hsa04950	Maturity onset diabetes of the young	3/350	26/8112	0.09965868493376075	0.41676744003980054	0.36316437786667877	3375/3651/3172	3
hsa04380	Osteoclast differentiation	9/350	128/8112	0.1011754792644033	0.41676744003980054	0.36316437786667877	5290/5293/6885/4772/5534/2355/4792/6772/4773	9
