ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04974	Protein digestion and absorption	31/569	103/8112	1.24343408564424e-12	3.867080006353586e-10	2.8140876675106483e-10	1281/1277/2006/1280/50509/1282/1290/1294/1301/1278/1306/1287/1293/1289/1286/1295/169044/1284/23439/81578/1297/1285/1310/84570/1288/1292/1307/85301/481/206358/1803	31
hsa04510	Focal adhesion	41/569	201/8112	2.9967872171738347e-10	4.660004122705313e-8	3.391101324696708e-8	1277/1280/1282/1278/7422/1287/858/1293/10000/3908/1286/3479/5728/56034/894/5295/1284/3915/1297/1285/5602/329/1288/1292/998/3688/208/5155/2932/5154/387/5291/2534/5601/5159/7058/57144/5906/103910/9475/22801	41
hsa04512	ECM-receptor interaction	22/569	88/8112	1.0296024059777084e-7	1.067354494196891e-5	7.767176045094996e-6	1277/1280/1282/1278/1287/1293/3908/1286/1284/3915/1297/1285/1288/1292/3688/158326/341640/80144/3339/1605/7058/22801	22
hsa01521	EGFR tyrosine kinase inhibitor resistance	20/569	79/8112	3.149263912323288e-7	2.4485526918313564e-5	1.781820371446071e-5	9470/7422/10000/3479/5728/56034/5295/4893/2309/6199/2549/4763/208/5155/2932/6198/5154/5291/5159/9542	20
hsa05200	Pathways in cancer	68/569	531/8112	5.563923300019511e-7	3.4607602926121365e-5	2.5184073884298844e-5	1282/7422/1287/2941/10000/3908/1286/3479/5728/675/4040/894/1021/27113/9618/5295/1284/3915/1285/4893/5602/6688/27436/55970/808/3458/841/578/329/8030/2353/1288/10928/2113/890/6199/998/23401/3688/7187/5915/208/862/5155/8202/2932/653689/6198/4193/7042/5154/8322/387/5291/5601/5159/8031/4853/7855/59345/54331/25/5898/818/1910/1017/405/9475	68
hsa05222	Small cell lung cancer	21/569	92/8112	1.0331229775026263e-6	5.355020766721947e-5	3.8968673712818366e-5	1282/1287/10000/3908/1286/5728/1021/9618/5295/1284/3915/1285/578/329/1288/3688/7187/5915/208/5291/1017	21
hsa05231	Choline metabolism in cancer	21/569	98/8112	3.077405672764217e-6	1.3672473774709593e-4	9.949507062320402e-5	160851/10000/56034/23446/8527/5295/4893/5602/2353/9468/6199/208/5155/6198/56261/5154/8936/5291/10434/5601/5159	21
hsa04151	PI3K-Akt signaling pathway	48/569	354/8112	6.140445973457988e-6	2.3870983721817926e-4	1.7370998477545622e-4	9470/1277/1280/1282/1278/7422/1287/1293/10000/1386/3908/1286/6446/3479/5728/56034/894/1946/1021/4908/5295/4170/1284/3915/1297/1285/4893/55970/9586/1288/2309/1292/6199/3688/208/5155/2932/6198/4193/5154/5291/4515/5159/7058/59345/54331/1017/22801	48
hsa04926	Relaxin signaling pathway	24/569	129/8112	8.474489537149338e-6	2.9284069400593827e-4	2.1310119888738106e-4	1281/1277/1282/1278/7422/1287/10000/1386/1286/5295/1284/1285/4893/5602/55970/9586/2353/1288/208/5291/5601/59345/54331/1910	24
hsa05165	Human papillomavirus infection	45/569	331/8112	1.1293832266327983e-5	3.5123818348280027e-4	2.555972565537386e-4	1277/1280/1282/1278/7422/1287/7132/1293/10000/528/3908/1286/5728/894/1021/5295/1284/3915/1297/1285/4893/9586/1740/841/578/1288/1292/890/6199/998/3688/7187/208/2932/6198/4193/8322/5291/5159/4853/523/7855/7058/1017/22801	45
hsa05214	Glioma	16/569	75/8112	4.867567294043738e-5	0.001376194025861457	0.001001461213607085	10000/3479/5728/1021/5295/4893/808/578/208/5155/57118/4193/5154/5291/5159/818	16
hsa04933	AGE-RAGE signaling pathway in diabetic complications	19/569	100/8112	5.415651783482098e-5	0.0013812012406485099	0.0010051049813485518	1281/1277/1282/1278/7422/1287/10000/1286/5295/1284/1285/4893/5602/1288/998/208/7042/5291/5601	19
