ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051963	regulation of synapse assembly	20/811	107/18866	2.5688184079637307e-8	8.230060870812829e-5	7.058282441103894e-5	10082/4208/627/5818/89780/51804/9378/79953/23284/2045/4915/382/9231/1946/5021/575/54674/577/6092/57463	20
BP	GO:0099504	synaptic vesicle cycle	28/811	199/18866	3.2789087134712465e-8	8.230060870812829e-5	7.058282441103894e-5	26059/8573/8867/6623/9783/1855/89780/6456/6843/9378/8674/79953/112476/8851/3356/148281/382/9162/1812/5728/6453/488/321/71/27253/5413/23621/127833	28
BP	GO:0099003	vesicle-mediated transport in synapse	29/811	220/18866	8.046352067258325e-8	1.1624316357960745e-4	9.969271105904687e-5	26059/8573/8867/27065/6623/9783/1855/89780/6456/6843/9378/8674/79953/112476/8851/3356/148281/382/9162/1812/5728/6453/488/321/71/27253/5413/23621/127833	29
BP	GO:0007416	synapse assembly	26/811	184/18866	9.262403472478681e-8	1.1624316357960745e-4	9.969271105904687e-5	10082/2566/4208/627/5818/1855/89780/51804/9378/79953/23284/2045/4915/382/1812/5728/9231/1946/5021/119/575/54674/577/27253/6092/57463	26
BP	GO:1901888	regulation of cell junction assembly	26/811	200/18866	4.923519243093998e-7	4.943213320066374e-4	4.2394092008956745e-4	10082/4208/627/7414/5818/89780/51804/9378/79953/1845/2042/23284/2045/4915/382/5728/9231/1946/5021/575/71/54674/23122/577/6092/57463	26
BP	GO:0050807	regulation of synapse organization	28/811	229/18866	6.449401619699702e-7	5.395999355148751e-4	4.6277285306266285e-4	10082/25791/4208/627/5818/89780/51804/9378/389941/79953/8851/23284/2045/4915/382/10097/1072/5728/6453/9231/1946/5021/575/79012/54674/577/6092/57463	28
BP	GO:0051588	regulation of neurotransmitter transport	19/811	120/18866	8.518587388107604e-7	5.772617964719136e-4	4.950724989662669e-4	8573/4763/6623/9783/4208/4842/1855/6843/112476/3356/9162/10550/1812/488/321/27345/3749/5413/23621	19
BP	GO:0060562	epithelial tube morphogenesis	35/811	331/18866	9.199391178835277e-7	5.772617964719136e-4	4.950724989662669e-4	2247/6299/51684/4208/8945/57534/2099/1855/89780/3549/51804/27086/28514/51176/8549/5898/5228/2045/57167/5979/4853/7048/859/7080/1072/79633/9231/4036/90627/55081/90/55366/157506/10959/4524	35
BP	GO:0050803	regulation of synapse structure or activity	28/811	240/18866	1.6625583612097398e-6	9.273381081414328e-4	7.953056955962381e-4	10082/25791/4208/627/5818/89780/51804/9378/389941/79953/8851/23284/2045/4915/382/10097/1072/5728/6453/9231/1946/5021/575/79012/54674/577/6092/57463	28
BP	GO:0032970	regulation of actin filament-based process	39/811	405/18866	2.336884967434574e-6	0.001173116253652156	0.0010060904754534115	5756/683/27/4208/2059/4627/55114/10391/10602/8851/5999/55704/2042/5581/89848/57731/5295/382/775/4853/9113/10097/6781/859/1072/9530/2044/5144/1946/93663/488/119/71/23122/22843/27236/2150/6709/23616	39
BP	GO:0046928	regulation of neurotransmitter secretion	17/811	106/18866	2.6588639471400788e-6	0.0012134088195130178	0.001040646272134251	8573/4763/6623/9783/4208/1855/6843/112476/3356/9162/1812/488/321/27345/3749/5413/23621	17
BP	GO:0042391	regulation of membrane potential	41/811	443/18866	3.509662753472051e-6	0.0013552697709561304	0.0011623093653198937	781/7533/116/6334/55012/2566/6326/9783/4208/627/482/6323/3756/1855/2560/9378/777/340273/288/3737/5999/149111/4915/775/9162/10550/859/1812/3783/5728/8506/1742/488/27345/2742/6543/57053/55022/84866/4887/2257	41
BP	GO:0048732	gland development	41/811	443/18866	3.509662753472051e-6	0.0013552697709561304	0.0011623093653198937	26019/1896/4763/116/6299/55294/5009/55870/8945/2099/394/5324/89780/4087/3549/51804/7049/1471/3321/51176/5268/4781/3673/23322/382/4853/7048/9113/9480/859/7080/5728/8648/57864/5021/8862/64841/2252/340481/29842/2296	41
BP	GO:1990778	protein localization to cell periphery	34/811	340/18866	4.559658258890589e-6	0.001613772604516113	0.0013840071194109673	10082/27065/23163/22841/9847/10890/89780/2319/57120/10098/286/288/55704/2042/5581/2770/57731/5295/382/6249/285172/859/23043/9530/90410/2013/57512/1742/342667/392509/131578/10959/23122/55022	34
BP	GO:0050808	synapse organization	40/811	433/18866	4.822029694769262e-6	0.001613772604516113	0.0013840071194109673	26059/10082/6623/4774/2566/25791/4208/627/5818/1855/89780/51804/9378/389941/79953/8851/288/23284/2045/4915/382/10097/1812/1072/5728/6453/9231/1946/1742/5021/119/575/6543/79012/71/54674/577/27253/6092/57463	40
BP	GO:0007269	neurotransmitter secretion	22/811	175/18866	6.386193441664503e-6	0.0017549254269622657	0.0015050629054887122	26059/8573/4763/8867/6623/9783/4208/1855/6843/9378/112476/3356/148281/9162/1812/488/321/27345/3749/5413/23621/127833	22
BP	GO:0099643	signal release from synapse	22/811	175/18866	6.386193441664503e-6	0.0017549254269622657	0.0015050629054887122	26059/8573/4763/8867/6623/9783/4208/1855/6843/9378/112476/3356/148281/9162/1812/488/321/27345/3749/5413/23621/127833	22
BP	GO:0050804	modulation of chemical synaptic transmission	41/811	454/18866	6.412405979425092e-6	0.0017549254269622657	0.0015050629054887122	8573/4763/7533/116/22849/27065/6623/9783/4208/627/1855/89780/6843/9378/112476/5999/5581/51247/3356/2917/2770/4915/760/9162/23236/1812/5728/1742/5021/488/321/27345/575/6543/3749/27253/5413/84866/4887/26012/23621	41
BP	GO:0099177	regulation of trans-synaptic signaling	41/811	455/18866	6.764580233595743e-6	0.0017549254269622657	0.0015050629054887122	8573/4763/7533/116/22849/27065/6623/9783/4208/627/1855/89780/6843/9378/112476/5999/5581/51247/3356/2917/2770/4915/760/9162/23236/1812/5728/1742/5021/488/321/27345/575/6543/3749/27253/5413/84866/4887/26012/23621	41
BP	GO:0021537	telencephalon development	28/811	259/18866	7.328028210311479e-6	0.0017549254269622657	0.0015050629054887122	25777/1021/4763/6299/81565/389549/482/89780/51176/8851/7832/3251/4781/23322/4915/7080/23236/1812/5728/8648/79633/2145/2044/84287/6867/93986/5021/6092	28
BP	GO:0098693	regulation of synaptic vesicle cycle	17/811	114/18866	7.341321507212666e-6	0.0017549254269622657	0.0015050629054887122	8573/9783/1855/6843/9378/8674/112476/8851/3356/9162/1812/5728/488/321/27253/5413/23621	17
